question,answer
"""question""","""answer"""
"""What is the Constitution of India?""","""The Constitution of India is the supreme legal document that establishes the framework of the country’s governance, adopted on November 26, 1949, and effective from January 26, 1950. It is the longest written constitution globally, with 448 articles, 12 schedules, and 5 appendices as of 2025, reflecting India’s federal structure, parliamentary democracy, and secular ethos. Drafted by the Constituent Assembly led by Dr. B.R. Ambedkar, it draws from sources like the Government of India Act, 1935, and constitutions of the USA, UK, and Ireland. It guarantees Fundamental Rights (Articles 12-35), Directive Principles of State Policy (Articles 36-51), and Fundamental Duties (Article 51A), while outlining the separation of powers among the Legislature, Executive, and Judiciary. Amendments (over 100 by 2025) allow adaptability, as seen in the 42nd Amendment (1976) during the Emergency, balancing rigidity and flexibility for a diverse nation."""
"""What is Section 498A IPC?""","""Section 498A of the Indian Penal Code, 1860, addresses cruelty by a husband or his relatives toward a married woman. It penalizes subjecting a woman to cruelty—defined as willful conduct likely to drive her to suicide, cause grave injury, or harass her for dowry—with imprisonment up to three years and a fine. Introduced in 1983 to combat dowry-related harassment, it’s cognizable and non-bailable, allowing police to act swiftly. The Supreme Court in Sushil Kumar Sharma v. Union of India (2005) noted its misuse in false cases, leading to guidelines in Rajesh Sharma v. State of U.P. (2017) to filter genuine complaints via Family Welfare Committees. Despite its protective intent, debates persist on its gender-specific nature and potential for abuse, balancing victim protection with fair trial rights."""
"""What is a writ petition?""","""A writ petition is a formal request filed in a High Court or the Supreme Court of India under Articles 226 and 32 of the Constitution, respectively, seeking enforcement of Fundamental Rights or other legal rights. Writs include habeas corpus (to release unlawful detention), mandamus (to compel public duty), certiorari (to quash judicial errors), prohibition (to stop lower courts), and quo warranto (to challenge public office holders). It’s a swift remedy against state actions, requiring the petitioner to show a legal right and violation. Landmark cases like A.K. Gopalan v. State of Madras (1950) and Maneka Gandhi v. Union of India (1978) shaped its scope. The process involves drafting, filing with court fees, and awaiting a hearing, with PILs expanding access to marginalized groups."""
"""What is the role of the Supreme Court?""","""The Supreme Court of India, established under Article 124 of the Constitution, is the highest judicial body, serving as the guardian of the Constitution and the final court of appeal. Located in New Delhi, it comprises the Chief Justice and up to 34 judges (as of 2024), appointed by the President. Its roles include interpreting the Constitution (e.g., Kesavananda Bharati v. State of Kerala, 1973, on basic structure), settling inter-state disputes, and reviewing lower court decisions. It has original jurisdiction in federal matters (Article 131) and advisory jurisdiction (Article 143). Through public interest litigation and suo motu cases, it addresses social issues, like environmental protection in T.N. Godavarman Thirumulpad v. Union of India (1997), ensuring justice and constitutional supremacy."""
"""What is the difference between bailable and non-bailable offenses?""","""In India, bailable and non-bailable offenses are categorized under the Code of Criminal Procedure, 1973 (CrPC). Bailable offenses, listed in the First Schedule, include less severe crimes like minor theft (Section 379 IPC) or public nuisance, where the accused has a right to bail under Section 436, granted by police or courts with minimal scrutiny, often on a personal bond. Non-bailable offenses, such as murder (Section 302 IPC) or rape (Section 376 IPC), involve serious crimes where bail is discretionary under Section 437, requiring judicial approval based on factors like evidence strength, flight risk, or public safety. The distinction affects arrest and detention, with non-bailable cases allowing pre-trial custody, as clarified in State of Rajasthan v. Balchand (1977)."""
"""What is the Consumer Protection Act?""","""The Consumer Protection Act, 2019, in India, replaced the 1986 Act to safeguard consumer rights against defective goods, services, and unfair trade practices. Enacted on July 20, 2020, it establishes the Central Consumer Protection Authority (CCPA) to promote, protect, and enforce consumer rights, with powers to issue safety notices and penalties. It provides a three-tier redressal system—District, State, and National Commissions—handling complaints via mediation or adjudication, with compensation up to Rs. 10 crore at the National level. Key rights include the right to safety, information, choice, and redressal, as seen in cases like Karnataka Power Transmission Corp. Ltd. v. Ashok Iron Works Pvt. Ltd. (2009). E-commerce falls under its ambit, addressing online fraud, reflecting modern consumer needs."""
"""What is the Motor Vehicles Act?""","""The Motor Vehicles Act, 1988, is the primary legislation in India governing vehicular traffic, licensing, registration, and road safety. Amended in 2019, it aims to enhance road discipline and compensate accident victims, with provisions for third-party insurance and penalties for violations like drunk driving (Section 185) or overloading. It mandates licenses (Chapter II), vehicle registration (Chapter III), and permits (Chapter V), enforced by transport authorities. The 2019 amendment increased fines (e.g., Rs. 10,000 for rash driving) and introduced motor vehicle accident funds for hit-and-run cases. The Supreme Court in Jai Prakash v. National Insurance Co. Ltd. (2019) emphasized its victim-centric approach, balancing regulation with compensation, crucial for India’s growing traffic challenges."""
"""What is the Dowry Prohibition Act?""","""The Dowry Prohibition Act, 1961, aims to prevent the demand, giving, or taking of dowry in India, a social evil linked to harassment and bride burning. It declares dowry transactions illegal under Section 3, punishable with imprisonment up to five years and a fine up to Rs. 15,000 or the dowry value. Section 4 penalizes dowry demands, while Section 7 mandates reporting within seven years. Amended in 1986, it aligns with IPC Section 498A for cruelty cases. Enforcement is weak due to societal norms, but cases like Ashok Kumar v. State of Rajasthan (1990) underscore its intent. The Act established Dowry Prohibition Officers to monitor compliance, though challenges like underreporting persist."""
"""What is the Hindu Marriage Act?""","""The Hindu Marriage Act, 1955, governs marriage, divorce, and related matters for Hindus, Buddhists, Jains, and Sikhs in India. It recognizes marriage as a sacrament, requiring conditions like mental capacity and no subsisting marriage (Section 5). It provides for judicial separation (Section 10), divorce (Section 13) on grounds like cruelty or desertion, and restitution of conjugal rights (Section 9). The Act allows monogamy, a shift from traditional polygamy, and minimum marriageable ages (21 for men, 18 for women). Landmark cases like Sarla Mudgal v. Union of India (1995) upheld its secular intent against bigamy. It balances personal law with gender equality, though customary practices sometimes challenge its enforcement."""
